,module_color,kME_in_own_module,kWithin
Gene.328,blue,0.6593708352037128,3.997375841725168
Gene.329,blue,0.8275450090483921,24.47418207217257
Gene.330,darkgreen,0.5063757376311313,0.26703070934341216
Gene.331,blue,0.7596209909944017,10.115175601969693
Gene.332,blue,0.9289074612970022,13.072521930337123
Gene.333,darkgreen,0.5566385825753671,1.3911775254548688
Gene.334,darkgreen,0.9688814262265804,0.09738120370113224
Gene.335,black,0.7652500654158068,2.270144688059302
Gene.336,black,0.7228938535753098,5.714956769313658
Gene.337,blue,0.7954689097793595,7.458486213052781
Gene.338,grey,0.9327120200114751,0.007466610032967659
Gene.339,black,0.9219623397211577,18.341433511663034
Gene.340,darkgreen,0.5899358147030307,1.515582397929223
Gene.341,black,0.9157040749263221,1.008378187768021
Gene.342,darkgreen,0.797622568646908,4.662172435974612
Gene.343,blue,0.9609071471108047,25.135872592799608
Gene.344,black,0.7267798021157292,10.074254149239664
Gene.345,blue,0.9891714995122729,0.3145211716215797
Gene.346,darkgreen,0.5494339748280749,1.8069190218836588
Gene.347,darkgreen,0.913520837177122,6.211862216443819
Gene.348,darkgreen,0.6789517707681749,0.677265260768486
Gene.349,grey,-0.9443203042600239,0.1985387080098894
Gene.350,grey,-0.9340542685660109,0.016042137941412078
Gene.351,black,0.8984709808601696,5.395023576218391
Gene.352,blue,0.9197517868707165,21.394054703866942
Gene.353,darkmagenta,0.92496441289029,19.779347245881542
Gene.354,darkmagenta,0.798468264713745,2.2308128115964507
Gene.355,grey,0.17433705266487576,0.031248337244721605
Gene.356,darkgreen,0.9002131799595064,8.382354675424946
Gene.357,black,0.549783492143971,0.8768060975431246
Gene.358,black,0.7366549016185855,3.101692303948694
Gene.359,darkgreen,0.9193479269454237,6.2829907697306435
Gene.360,blue,0.9422763807264576,0.5093590507607889
Gene.361,black,0.569440191054608,3.176353071734895
Gene.362,darkmagenta,0.9765731391578663,8.409726982166605
Gene.363,darkmagenta,0.9275999987166639,4.787563018075513
Gene.364,blue,0.7645824732594733,4.004239014067629
Gene.365,darkmagenta,0.7040230318679476,0.7772467399408688
Gene.366,darkgreen,0.45455357288460196,0.7791031516644024
Gene.367,grey,0.9339712306220546,0.0011904913056632938
Gene.368,black,0.7236847624507025,14.821938682152547
Gene.369,blue,0.981199239827467,2.953396996087828
Gene.370,grey,0.10500823635221337,0.2808949274939835
Gene.371,darkolivegreen,0.7302504346157465,0.21092326452109253
Gene.372,darkmagenta,0.9404673074835671,22.263736663731923
Gene.373,grey,0.9007272942934181,0.00792447930700229
Gene.374,blue,0.45778689405739525,2.1694264305134148
Gene.375,darkgreen,0.9902478721467872,2.849644959716181
Gene.376,darkmagenta,0.674288372041779,0.35032975845685654
Gene.377,blue,0.9269119998882813,4.008462430478002
Gene.378,blue,0.9704655978241221,17.204306327671233
Gene.379,grey,-0.8490965856809575,0.06364324601358157
Gene.380,blue,0.8244627717069191,15.41062661808039
Gene.381,grey,0.15155400926804966,0.020924117191580983
Gene.382,grey,-0.9289000176884257,0.001135954174189574
Gene.383,darkgreen,0.8777618157746421,2.578039101316004
Gene.384,darkmagenta,0.9226962997287524,5.720998094554839
Gene.385,darkmagenta,0.8952184468532123,5.446700200176007
Gene.386,blue,0.9794703337137483,18.037044013349128
Gene.387,blue,0.9157877528833145,14.424384194638277
Gene.388,darkmagenta,0.9201826101793658,14.985392190641464
Gene.389,black,0.8086805989025222,3.7245191282242502
Gene.390,black,0.7699055302556781,3.6822732902130455
Gene.391,blue,0.8065968543790148,24.628600874464468
Gene.392,blue,0.8869049615246262,7.50995011044114
Gene.393,grey,0.8869439810116442,0.004273794316555977
Gene.394,darkgreen,0.9718023508561309,15.946061962040025
Gene.395,grey,0.17607301097173841,0.09101697583282195
Gene.396,blue,0.3884339156817397,0.9213769766968787
Gene.397,darkgreen,0.7217541083279427,11.486633685839527
Gene.398,blue,0.9451276411074327,17.72149835836858
Gene.399,black,0.8784144905812339,5.651597107106711
Gene.400,black,0.6465455023635991,0.3937482416415724
Gene.401,darkmagenta,0.6554163543670403,1.775145413816115
Gene.402,darkmagenta,0.8014885440067532,1.4794017550743142
Gene.403,grey,0.09506513122961123,0.02231925819489951
Gene.404,grey,0.8935688239322982,0.011611303689832401
Gene.405,grey,-0.897254441780015,0.05868257891115697
Gene.406,grey,-0.9529881059611476,0.006868104826633758
Gene.407,grey,0.9471808741724151,0.012447508816214455
Gene.408,blue,0.5379153790639596,2.0292617449750883
Gene.409,darkgreen,0.7525757516304838,1.8600412562767656
Gene.410,black,0.9092081436605981,6.555708438224957
Gene.411,grey,-0.911870270507575,0.045107111756471835
Gene.412,grey,0.07486339746579791,0.022914939154497146
Gene.413,darkmagenta,0.8432983325813957,2.5042508082137886
Gene.414,black,0.8549328702074249,1.8011405315836535
