,module_color,kME_in_own_module,kWithin
Gene.96,turquoise,0.3065225192040358,105.88596563626545
Gene.97,yellow,0.767586089668752,131.88704707835018
Gene.98,turquoise,0.2524364737176455,99.31223642773081
Gene.99,brown,0.8651653277730489,173.14827456691066
Gene.100,brown,0.792582217541003,154.35988112684439
Gene.101,turquoise,0.909527427208065,163.3508828499686
Gene.102,blue,0.9422839987601233,103.83660097000671
Gene.103,blue,0.7072257011777356,130.79528914651885
Gene.104,brown,0.9728810445346399,142.09962465776437
Gene.105,yellow,0.5852908799505914,124.30810854270227
Gene.106,brown,0.8713500511851562,157.25545648768508
Gene.107,yellow,0.7810495756800402,137.02891675513877
Gene.108,brown,0.7937342070474842,153.8629704873826
Gene.109,blue,0.8782507390826315,148.45605298470602
Gene.110,brown,0.787956670967899,134.28520377590442
Gene.111,brown,0.350114195839286,118.88320872146845
Gene.112,turquoise,0.3560924306166132,115.96033833758058
Gene.113,yellow,0.7464227478596429,130.14781030854365
Gene.114,turquoise,0.9623687993302876,173.531366685228
Gene.115,turquoise,0.5731443067238275,152.50277522933226
Gene.116,blue,0.8788546959747007,151.5451344952702
Gene.117,yellow,0.8159918266239932,139.99947993127697
Gene.118,blue,0.7766472335051479,156.55781084432334
Gene.119,yellow,0.4809790470125555,80.0056806125627
Gene.120,brown,0.5339990357301586,126.13029751760907
Gene.121,brown,0.7979493831674889,157.43242762584782
Gene.122,turquoise,0.9695465747186309,184.97281592944998
Gene.123,brown,0.9240809228780102,175.56439328760877
Gene.124,turquoise,0.8897913212952695,178.2808287004093
Gene.125,brown,0.9512202674245634,166.20699512560827
Gene.126,turquoise,0.4228669769196153,114.507347986681
Gene.127,brown,0.9770755179148921,170.83946150659887
Gene.128,brown,0.989442920835028,152.2077637273675
Gene.129,blue,0.91005717536787,133.42957143818566
Gene.130,turquoise,0.8056661338808108,106.98271719480883
Gene.131,yellow,0.7161495600349019,139.7114277129076
Gene.132,yellow,0.7243681986801085,132.03074235146232
Gene.133,turquoise,0.7576696697217097,178.80989072663803
Gene.134,brown,0.8670094078134088,164.3548777726622
Gene.135,yellow,0.9530029253263999,155.63092118813952
Gene.136,blue,0.8595167056454537,155.75167671458627
Gene.137,brown,0.6150727549775948,138.17487609988765
